Method,Lifted Embedding,Shadow Embedding,Plain SQL
10,0.105,0.017,0.015
210,2.301,0.347,0.3
410,4.568,0.689,0.596
610,6.57,1.031,0.889
810,8.623,1.368,1.177
1010,10.794,1.723,1.454
1210,12.924,2.062,1.76
1410,15.05,2.451,2.041
1610,17.228,2.75,2.373
1810,19.352,3.12,2.674
2010,21.45,3.397,2.971
2210,23.75,3.718,3.264
2410,25.851,4.116,3.554
2610,27.917,4.434,3.849
2810,30.05,4.745,4.337
3010,32.336,5.083,4.455
3210,34.303,5.46,4.708
3410,36.553,5.834,5.013
3610,38.753,6.439,5.382
3810,40.962,6.735,5.609
4010,42.992,7.054,5.969
4210,45.18,7.277,6.249
4410,47.377,7.563,6.579
4610,49.583,7.925,6.871
4810,51.678,8.585,7.092
