Method,Lifted Embedding,Shadow Embedding,Plain SQL
10,0.102,0.012,0.01
210,2.205,0.232,0.211
410,4.21,0.456,0.418
610,6.257,0.675,0.622
810,8.278,0.895,0.827
1010,10.316,1.117,1.031
1210,12.411,1.349,1.231
1410,14.449,1.573,1.435
1610,16.442,1.825,1.662
1810,18.597,2.03,1.843
2010,20.615,2.225,2.044
2210,22.623,2.503,2.273
2410,24.647,2.687,2.474
2610,26.799,2.987,2.681
2810,28.877,3.196,2.911
3010,30.839,3.406,3.121
3210,32.845,3.745,3.318
3410,34.952,4.014,3.514
3610,37.04,4.1,3.736
3810,39.023,4.32,3.963
4010,41.102,4.488,4.16
4210,43.187,4.958,4.341
4410,45.313,5.015,4.587
4610,47.126,5.275,4.76
4810,49.308,5.511,5.009
